Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
11,Anna-Marie Richardson (GBR),2.0,1.0,1.0,10:46,42,42 m,RED,0.0,Dqbo-surface,AIDA Panglao Depth Championship 2022,Depth Competition,2022-06-25,Panglao,2022-06-25,Anna-Marie Richardson,GBR,6,9,4,2
21,Annabel Edwards (USA),2.0,1.0,,00:00,50,-2 m,RED,0.0,DQOTHER,Freedive Paradise 2010,Mixed Competition,2010-04-22,other,2010-04-22,Annabel Edwards,USA,4,18,5,2
13,Anne-Sophie Passalboni (FRA),2.0,2.0,1.0,11:10,55,55 m,RED,0.0,"Dqtouch,dqairways",NAC AIDA 2021,Depth Competition,2021-06-19,NAC,2021-06-19,Anne-Sophie Passalboni,FRA,6,1,1,1
30,Annelie Pompe (SWE),2.0,2.0,,00:00,70,-2 m,RED,0.0,DQSP,Bizzy blue hole 2008,Mixed Competition,2008-04-18,other,2008-04-18,Annelie Pompe,SWE,4,15,2,1
70,Annelie Pompe (SWE),2.0,2.0,,00:00,72,46 m,RED,0.0,DQSP,AIDA Individual Depth World Championship 2011,World Championship,2011-09-15,World Championship,2011-09-15,Annelie Pompe,SWE,9,22,5,1
40,Annelie Pompe (SWE),2.0,2.0,,00:00,73,41 m,RED,-32.0,DQSP,Suunto Vertical Blue 2015,Depth Competition,2015-04-27,VB,2015-04-27,Annelie Pompe,SWE,4,30,10,0
41,Annelie Pompe (SWE),2.0,2.0,,00:00,73,43 m,RED,-30.0,DQSP,Suunto Vertical Blue 2015,Depth Competition,2015-04-27,VB,2015-04-27,Annelie Pompe,SWE,4,31,11,0
49,Ashley Chapman (USA),2.0,2.0,,00:00,55,-2 m,RED,0.0,DQOTHER,PFI Deja Blue 2010,Mixed Competition,2010-05-11,other,2010-05-11,Ashley Chapman,USA,5,3,1,1
49,Ashley Chapman (USA),2.0,1.0,,00:00,69,69 m,RED,0.0,DQBO,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Ashley Chapman,USA,5,8,5,2
171,Ashley Chapman (USA),2.0,3.0,,00:00,87,87 m,RED,0.0,DQBO,Suunto Vertical Blue 2012,Depth Competition,2012-11-20,VB,2012-11-20,Ashley Chapman,USA,11,14,4,1
54,Ashley Chapman (USA),2.0,1.0,,00:00,57,57 m,RED,0.0,DQSP,Caribbean Cup 2014,Depth Competition,2014-05-25,other,2014-05-25,Ashley Chapman,USA,5,15,7,2
4,Ashley Chapman (USA),2.0,3.0,,00:00,85,73 m,RED,0.0,"No tag,under ap,dqpull",BONAIRE DEEPSEA CHALLENGE,Mixed Competition,2016-09-09,other,2016-09-09,Ashley Chapman,USA,9,43,17,0
4,Aurora Padilla (MEX),2.0,1.0,,00:00,32,32 m,RED,0.0,DQBO,xibalba 2011,Mixed Competition,2011-07-16,other,2011-07-16,Aurora Padilla,MEX,7,4,2,2
18,Aurore Asso (FRA),2.0,3.0,,00:00,82,82 m,RED,0.0,DQBO,Suunto Vertical Blue,Depth Competition,2014-11-27,VB,2014-11-27,Aurore Asso,FRA,11,30,22,0
112,Aurore Asso (FRA),2.0,3.0,,00:00,83,83 m,RED,0.0,DQSP,2015 AIDA Depth World Championships,World Championship,2015-09-11,World Championship,2015-09-11,Aurore Asso,FRA,9,38,27,0
17,Aurore Asso (FRA),2.0,1.0,,00:00,50,50 m,RED,0.0,DQSP,Vertical Blue 2016,Mixed Competition,2016-04-27,VB,2016-04-27,Aurore Asso,FRA,4,42,5,2
13,Aurore Asso (FRA),2.0,1.0,,00:00,53,53 m,RED,0.0,DQBO,Vertical Blue 2016,Mixed Competition,2016-05-01,VB,2016-05-01,Aurore Asso,FRA,5,44,7,0
27,Aurore Asso (FRA),2.0,1.0,,00:00,50,0 m,RED,0.0,DNS,Vertical Blue 2016,Mixed Competition,2016-05-02,VB,2016-05-02,Aurore Asso,FRA,5,45,8,0
25,Barbara Hügli (CHE),2.0,3.0,,00:00,33,-2 m,RED,0.0,DQBO,Summer Swiss Championship 2008,Depth Competition,2008-08-16,other,2008-08-16,Barbara Hügli,CHE,8,1,1,1
27,Barbara Hügli (CHE),2.0,2.0,,00:00,25,-2 m,RED,0.0,DQSP,Summer Swiss Championship 2008,Depth Competition,2008-08-16,other,2008-08-16,Barbara Hügli,CHE,8,3,1,1
