Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline
14,Adriana Gabriela Bantu-Dinu (ROU),2.0,1.0,,00:00,28,28 m,WHITE,28.0,OK,Cavo Maris 2014,Mixed Competition,2014-08-21,other,2014-08-21,Adriana Gabriela Bantu-Dinu,ROU,8,12,2
26,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,46,46 m NR,WHITE,46.0,OK,DEPTH GAMES 2014,Depth Competition,2014-10-05,other,2014-10-05,Adriana Gabriela Bantu-Dinu,ROU,10,13,8
27,Adriana Gabriela Bantu-Dinu (ROU),2.0,2.0,,00:00,38,38 m,WHITE,38.0,OK,DEPTH GAMES 2014,Depth Competition,2014-10-05,other,2014-10-05,Adriana Gabriela Bantu-Dinu,ROU,10,14,4
28,Adriana Gabriela Bantu-Dinu (ROU),2.0,1.0,,00:00,30,30 m NR,WHITE,30.0,OK,DEPTH GAMES 2014,Depth Competition,2014-10-05,other,2014-10-05,Adriana Gabriela Bantu-Dinu,ROU,10,15,3
8,Adriana Gabriela Bantu-Dinu (ROU),2.0,2.0,,00:00,40,40 m,WHITE,40.0,OK,Under Pressure 2015,Mixed Competition,2015-08-15,other,2015-08-15,Adriana Gabriela Bantu-Dinu,ROU,8,16,5
10,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,40,40 m,WHITE,40.0,OK,Under Pressure 2015,Mixed Competition,2015-08-15,other,2015-08-15,Adriana Gabriela Bantu-Dinu,ROU,8,17,9
22,Adriana Gabriela Bantu-Dinu (ROU),2.0,3.0,,00:00,42,42 m,WHITE,42.0,OK,AIDA CYPRUS DEPTH GAMES 2015,Depth Competition,2015-10-18,other,2015-10-18,Adriana Gabriela Bantu-Dinu,ROU,10,18,10
23,Adriana Gabriela Bantu-Dinu (ROU),2.0,2.0,,00:00,41,41 m NR,WHITE,41.0,OK,AIDA CYPRUS DEPTH GAMES 2015,Depth Competition,2015-10-18,other,2015-10-18,Adriana Gabriela Bantu-Dinu,ROU,10,19,6
42,Agata Bogusz (POL),2.0,2.0,,00:00,51,51 m,WHITE,51.0,OK,Triple Depth 2009,Depth Competition,2009-09-06,other,2009-09-06,Agata Bogusz,POL,9,1,1
43,Agata Bogusz (POL),2.0,3.0,,00:00,53,50 m,YELLOW,44.0,PEN,Triple Depth 2009,Depth Competition,2009-09-06,other,2009-09-06,Agata Bogusz,POL,9,2,1
44,Agata Bogusz (POL),2.0,1.0,,00:00,36,36 m,WHITE,36.0,OK,Triple Depth 2009,Depth Competition,2009-09-06,other,2009-09-06,Agata Bogusz,POL,9,3,1
2,Agata Bogusz (POL),2.0,3.0,,00:00,71,71 m,WHITE,71.0,NR,Freedive Panglao Depth Challenge,Depth Competition,2016-04-30,Panglao,2016-04-30,Agata Bogusz,POL,4,4,2
9,Agata Bogusz (POL),2.0,2.0,,00:00,66,66 m,WHITE,66.0,NR,Freedive Panglao Depth Challenge,Depth Competition,2016-05-01,Panglao,2016-05-01,Agata Bogusz,POL,5,5,2
10,Agata Bogusz (POL),2.0,1.0,,00:00,50,43 m,YELLOW,30.0,"Early Turn, No Tag",Freedive Panglao Depth Challenge,Depth Competition,2016-05-02,Panglao,2016-05-02,Agata Bogusz,POL,5,6,2
