,onehotencoder__Gender_F,onehotencoder__Gender_M,onehotencoder__Discipline_CNF,onehotencoder__Discipline_CWT,onehotencoder__Discipline_CWTB,onehotencoder__Discipline_FIM,onehotencoder__Card_RED,onehotencoder__Card_WHITE,onehotencoder__Card_YELLOW,onehotencoder__Event Type_Competition,onehotencoder__Event Type_Depth Competition,onehotencoder__Event Type_Mixed Competition,onehotencoder__Event Type_Pool Competition,onehotencoder__Event Type_Team Competition,onehotencoder__Event Type_World Championship,onehotencoder__Event Type_Worldrecord attempt,remainder__Name,remainder__Country,remainder__AP,remainder__RP,remainder__Depth_Difference,remainder__Points,remainder__Remarks,remainder__Day,remainder__Month,remainder__Year,remainder__Experience Dive,remainder__Experience Discipline
75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Philippe Simoni,FRA,0,62,-62,62.0,OK,2000-01-01,1,2000,0,0
76,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Herbert Nitsch,AUT,0,66,-66,66.0,OK,2000-01-01,1,2000,0,0
77,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Le Sauce,FRA,0,56,-56,56.0,OK,2000-01-01,1,2000,1,1
78,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Alain Dujet,FRA,0,63,-63,63.0,OK,2000-01-01,1,2000,1,1
79,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernard Hugues,FRA,0,62,-62,62.0,OK,2000-01-01,1,2000,1,1
80,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kurt Teichgräber,DEU,0,56,-56,56.0,OK,2000-01-01,1,2000,0,0
81,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kazuaki Ichikawa,JPN,0,52,-52,52.0,OK,2000-01-01,1,2000,0,0
82,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Riccardo Mazzi,ITA,0,57,-57,57.0,OK,2000-01-01,1,2000,0,0
83,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Frédéric Buyle,BEL,0,60,-60,60.0,OK,2000-01-01,1,2000,1,1
84,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Maren Isigkeit,DEU,0,44,-44,44.0,OK,2000-01-01,1,2000,1,1
85,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Birgit Ehrenbolger,CHE,0,44,-44,44.0,OK,2000-01-01,1,2000,1,1
86,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Joanna Massacand,CHE,0,37,-37,37.0,OK,2000-01-01,1,2000,0,0
87,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharanne Wheeler,USA,0,40,-40,40.0,OK,2000-01-01,1,2000,1,1
88,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude Chapuis,FRA,0,62,-62,62.0,OK,2000-01-01,1,2000,1,1
89,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Oliver Heuleu,FRA,0,60,-60,60.0,OK,2000-01-01,1,2000,1,1
90,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sonja Mau,DEU,0,35,-35,35.0,OK,2000-01-01,1,2000,0,0
91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Brigitte Banegas,FRA,0,42,-42,42.0,OK,2000-01-01,1,2000,0,0
92,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hubert Maier,DEU,0,60,-60,60.0,OK,2000-01-01,1,2000,1,1
93,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter Weinmann,CHE,0,55,-55,55.0,OK,2000-01-01,1,2000,0,0
94,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Hoarau,FRA,0,54,-54,54.0,OK,2000-01-01,1,2000,1,1
95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Brett Le Master,USA,0,53,-53,53.0,OK,2000-01-01,1,2000,2,2
96,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Davide Carrera,ITA,0,57,-57,57.0,OK,2000-01-01,1,2000,1,1
97,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Michel Pardon,FRA,0,67,-67,67.0,OK,2000-01-01,1,2000,1,1
98,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pierre Frolla,MCO,0,65,-65,65.0,OK,2000-01-01,1,2000,2,1
99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pierre Frolla,MCO,0,73,-73,73.0,OK,2000-08-03,8,2000,3,1
100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tanya Streeter,USA,70,70,0,70.0,OK,2001-05-06,5,2001,1,0
101,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tanya Streeter,USA,70,70,0,70.0,OK,2001-05-11,5,2001,2,1
102,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Eric Fattah,CAN,82,82,0,82.0,OK,2001-08-11,8,2001,1,1
